date,prospect_id,service,event,source,device,value
2026-04-24,P042,Apartment Design,view_project,referral,desktop,0
2026-04-27,P043,Apartment Design,visit,direct,mobile,0
2026-04-08,P044,Luxury Villa,visit,direct,desktop,0
2026-04-08,P044,Luxury Villa,view_project,direct,desktop,0
2026-04-08,P045,Luxury Villa,visit,organic,desktop,0
2026-04-08,P045,Luxury Villa,view_project,organic,desktop,0
2026-04-12,P046,Office Space,visit,referral,desktop,0
2026-04-12,P046,Office Space,view_project,referral,desktop,0
2026-04-01,P047,Apartment Design,visit,organic,desktop,0
2026-04-01,P047,Apartment Design,view_project,organic,desktop,0
2026-04-10,P048,Interior Design,visit,direct,mobile,0
2026-04-04,P049,Apartment Design,visit,direct,desktop,0
2026-04-27,P050,Luxury Villa,visit,referral,mobile,0
2026-04-27,P050,Luxury Villa,view_project,referral,mobile,0
2026-04-30,P051,Office Space,visit,referral,desktop,0
2026-04-30,P051,Office Space,view_project,referral,desktop,0
2026-04-13,P052,Apartment Design,visit,referral,mobile,0
2026-04-13,P052,Apartment Design,view_project,referral,mobile,0
2026-04-15,P052,Apartment Design,enquiry,referral,mobile,1
2026-04-22,P052,Apartment Design,deal_closed,referral,mobile,654054
2026-05-02,P052,Apartment Design,move_in,referral,mobile,654054
2026-04-14,P053,Office Space,visit,organic,mobile,0
2026-04-14,P053,Office Space,view_project,organic,mobile,0
2026-04-11,P054,Interior Design,visit,referral,mobile,0
2026-04-12,P055,Office Space,visit,referral,desktop,0
2026-04-14,P056,Luxury Villa,visit,ads,mobile,0
2026-04-14,P056,Luxury Villa,view_project,ads,mobile,0
2026-04-25,P057,Apartment Design,visit,organic,mobile,0
2026-04-12,P058,Apartment Design,visit,ads,desktop,0
2026-04-15,P058,Apartment Design,enquiry,ads,desktop,1
2026-04-28,P059,Apartment Design,visit,ads,desktop,0
2026-04-25,P060,Interior Design,visit,direct,mobile,0
2026-04-25,P060,Interior Design,view_project,direct,mobile,0
2026-04-09,P061,Luxury Villa,visit,referral,desktop,0
2026-04-10,P062,Luxury Villa,visit,organic,mobile,0
2026-04-10,P062,Luxury Villa,view_project,organic,mobile,0
2026-04-12,P062,Luxury Villa,enquiry,organic,mobile,1
2026-04-02,P063,Apartment Design,visit,organic,desktop,0
2026-04-02,P063,Apartment Design,view_project,organic,desktop,0
2026-04-05,P063,Apartment Design,enquiry,organic,desktop,1
2026-04-13,P064,Office Space,visit,direct,desktop,0
2026-04-13,P064,Office Space,view_project,direct,desktop,0
2026-04-28,P065,Office Space,visit,referral,desktop,0
2026-04-28,P065,Office Space,view_project,referral,desktop,0
2026-04-15,P066,Interior Design,visit,direct,desktop,0
2026-04-15,P066,Interior Design,view_project,direct,desktop,0
2026-04-14,P067,Luxury Villa,visit,organic,mobile,0
2026-04-14,P067,Luxury Villa,view_project,organic,mobile,0
2026-04-18,P068,Apartment Design,visit,referral,mobile,0
2026-04-19,P068,Apartment Design,enquiry,referral,mobile,1
2026-04-27,P069,Office Space,visit,ads,mobile,0
2026-04-27,P069,Office Space,view_project,ads,mobile,0
2026-04-29,P069,Office Space,enquiry,ads,mobile,1
2026-04-12,P070,Interior Design,visit,direct,mobile,0
2026-04-12,P070,Interior Design,view_project,direct,mobile,0
2026-04-10,P071,Office Space,visit,referral,desktop,0
2026-04-10,P071,Office Space,view_project,referral,desktop,0
2026-04-11,P071,Office Space,enquiry,referral,desktop,1
2026-04-13,P072,Apartment Design,visit,organic,mobile,0
2026-04-20,P073,Office Space,visit,organic,desktop,0
2026-04-21,P074,Interior Design,visit,direct,mobile,0
2026-04-21,P074,Interior Design,view_project,direct,mobile,0
2026-04-22,P074,Interior Design,enquiry,direct,mobile,1
2026-04-30,P074,Interior Design,deal_closed,direct,mobile,2787931
2026-04-08,P075,Apartment Design,visit,referral,desktop,0
2026-04-08,P075,Apartment Design,view_project,referral,desktop,0
2026-04-21,P076,Office Space,visit,referral,desktop,0
2026-04-21,P076,Office Space,view_project,referral,desktop,0
2026-04-04,P077,Apartment Design,visit,referral,desktop,0
2026-04-04,P077,Apartment Design,view_project,referral,desktop,0
2026-04-06,P077,Apartment Design,enquiry,referral,desktop,1
2026-04-18,P077,Apartment Design,deal_closed,referral,desktop,600687
2026-04-30,P077,Apartment Design,move_in,referral,desktop,600687
2026-04-22,P078,Office Space,visit,ads,desktop,0
2026-04-22,P078,Office Space,view_project,ads,desktop,0
2026-04-11,P079,Luxury Villa,visit,direct,desktop,0
2026-04-11,P079,Luxury Villa,view_project,direct,desktop,0
2026-04-19,P080,Interior Design,visit,direct,desktop,0
2026-04-19,P080,Interior Design,view_project,direct,desktop,0
2026-04-24,P081,Luxury Villa,visit,organic,mobile,0
2026-04-24,P081,Luxury Villa,view_project,organic,mobile,0
2026-04-03,P082,Luxury Villa,visit,direct,desktop,0
2026-04-03,P082,Luxury Villa,view_project,direct,desktop,0
2026-04-04,P082,Luxury Villa,enquiry,direct,desktop,1
2026-04-10,P083,Office Space,visit,organic,mobile,0
2026-04-10,P083,Office Space,view_project,organic,mobile,0
2026-04-11,P083,Office Space,enquiry,organic,mobile,1
2026-04-19,P083,Office Space,deal_closed,organic,mobile,835524
2026-05-19,P083,Office Space,move_in,organic,mobile,835524
2026-04-19,P084,Luxury Villa,visit,organic,mobile,0
2026-04-19,P084,Luxury Villa,view_project,organic,mobile,0
2026-04-20,P084,Luxury Villa,enquiry,organic,mobile,1
2026-04-22,P085,Office Space,visit,referral,mobile,0
2026-04-23,P085,Office Space,enquiry,referral,mobile,1
2026-04-09,P086,Interior Design,visit,referral,mobile,0
2026-04-09,P086,Interior Design,view_project,referral,mobile,0
2026-04-12,P087,Office Space,visit,referral,mobile,0
2026-04-12,P087,Office Space,view_project,referral,mobile,0
2026-04-14,P087,Office Space,enquiry,referral,mobile,1
2026-04-28,P088,Interior Design,visit,organic,mobile,0
2026-04-28,P088,Interior Design,view_project,organic,mobile,0
2026-04-09,P089,Luxury Villa,visit,direct,desktop,0
2026-04-09,P089,Luxury Villa,view_project,direct,desktop,0
2026-04-11,P089,Luxury Villa,enquiry,direct,desktop,1
2026-04-10,P090,Interior Design,visit,referral,mobile,0
2026-04-10,P090,Interior Design,view_project,referral,mobile,0
2026-04-24,P091,Office Space,visit,direct,mobile,0
2026-04-08,P092,Luxury Villa,visit,referral,desktop,0
2026-04-08,P092,Luxury Villa,view_project,referral,desktop,0
2026-04-09,P093,Office Space,visit,direct,mobile,0
2026-04-21,P094,Office Space,visit,ads,mobile,0
2026-04-21,P094,Office Space,view_project,ads,mobile,0
2026-04-29,P095,Interior Design,visit,ads,desktop,0
2026-04-29,P095,Interior Design,view_project,ads,desktop,0
2026-05-01,P095,Interior Design,enquiry,ads,desktop,1
2026-04-13,P096,Interior Design,visit,direct,mobile,0
2026-04-27,P097,Apartment Design,visit,direct,desktop,0
2026-04-27,P097,Apartment Design,view_project,direct,desktop,0
2026-04-22,P098,Apartment Design,visit,ads,mobile,0
2026-04-01,P099,Interior Design,visit,ads,desktop,0
2026-04-22,P100,Apartment Design,visit,organic,desktop,0
2026-04-24,P100,Apartment Design,enquiry,organic,desktop,1
2026-04-30,P100,Apartment Design,deal_closed,organic,desktop,1540392
2026-05-26,P100,Apartment Design,move_in,organic,desktop,1540392
2026-04-30,P101,Luxury Villa,visit,organic,mobile,0
2026-04-30,P101,Luxury Villa,view_project,organic,mobile,0
2026-04-18,P102,Apartment Design,visit,ads,desktop,0
2026-04-02,P103,Office Space,visit,organic,mobile,0
2026-04-02,P103,Office Space,view_project,organic,mobile,0
2026-04-27,P104,Luxury Villa,visit,organic,desktop,0
2026-04-27,P104,Luxury Villa,view_project,organic,desktop,0
2026-04-09,P105,Apartment Design,visit,referral,desktop,0
2026-04-09,P105,Apartment Design,view_project,referral,desktop,0
2026-04-12,P105,Apartment Design,enquiry,referral,desktop,1
2026-04-17,P106,Apartment Design,visit,referral,mobile,0
2026-04-02,P107,Interior Design,visit,direct,mobile,0
2026-04-02,P107,Interior Design,view_project,direct,mobile,0
2026-04-12,P108,Luxury Villa,visit,organic,mobile,0
2026-04-09,P109,Luxury Villa,visit,organic,mobile,0
2026-04-09,P109,Luxury Villa,view_project,organic,mobile,0
2026-04-10,P109,Luxury Villa,enquiry,organic,mobile,1
2026-04-25,P110,Apartment Design,visit,referral,mobile,0
2026-04-27,P111,Office Space,visit,ads,mobile,0
2026-04-27,P111,Office Space,view_project,ads,mobile,0
2026-04-01,P112,Luxury Villa,visit,organic,mobile,0
2026-04-01,P112,Luxury Villa,view_project,organic,mobile,0
2026-04-04,P113,Office Space,visit,ads,desktop,0
2026-04-04,P113,Office Space,view_project,ads,desktop,0
2026-04-03,P114,Office Space,visit,organic,desktop,0
2026-04-03,P114,Office Space,view_project,organic,desktop,0
2026-04-04,P115,Apartment Design,visit,referral,desktop,0
2026-04-04,P115,Apartment Design,view_project,referral,desktop,0
2026-04-14,P116,Office Space,visit,organic,mobile,0
2026-04-14,P116,Office Space,view_project,organic,mobile,0
2026-04-11,P117,Interior Design,visit,direct,desktop,0
2026-04-03,P118,Luxury Villa,visit,direct,mobile,0
2026-04-05,P119,Luxury Villa,visit,direct,mobile,0
2026-04-03,P120,Apartment Design,visit,direct,desktop,0
2026-04-03,P120,Apartment Design,view_project,direct,desktop,0
2026-04-08,P121,Office Space,visit,organic,mobile,0
2026-04-08,P121,Office Space,view_project,organic,mobile,0
2026-04-11,P121,Office Space,enquiry,organic,mobile,1
2026-04-24,P121,Office Space,deal_closed,organic,mobile,4397420
2026-04-12,P122,Interior Design,visit,organic,desktop,0
2026-04-12,P122,Interior Design,view_project,organic,desktop,0
2026-04-14,P122,Interior Design,enquiry,organic,desktop,1
2026-04-21,P122,Interior Design,deal_closed,organic,desktop,705630
2026-04-07,P123,Luxury Villa,visit,referral,mobile,0
2026-04-07,P123,Luxury Villa,view_project,referral,mobile,0
2026-04-08,P123,Luxury Villa,enquiry,referral,mobile,1
2026-04-20,P123,Luxury Villa,deal_closed,referral,mobile,604629
2026-05-05,P123,Luxury Villa,move_in,referral,mobile,604629
2026-04-07,P124,Office Space,visit,direct,desktop,0
2026-04-07,P124,Office Space,view_project,direct,desktop,0
2026-04-22,P125,Luxury Villa,visit,direct,mobile,0
2026-04-24,P125,Luxury Villa,enquiry,direct,mobile,1
2026-05-03,P125,Luxury Villa,deal_closed,direct,mobile,3944657
2026-05-13,P125,Luxury Villa,move_in,direct,mobile,3944657
2026-04-08,P126,Apartment Design,visit,organic,mobile,0
2026-04-08,P126,Apartment Design,view_project,organic,mobile,0
2026-04-25,P127,Interior Design,visit,referral,mobile,0
2026-04-25,P127,Interior Design,view_project,referral,mobile,0
2026-04-24,P128,Luxury Villa,visit,referral,desktop,0
2026-04-24,P128,Luxury Villa,view_project,referral,desktop,0
2026-04-20,P129,Apartment Design,visit,referral,mobile,0
2026-04-20,P129,Apartment Design,view_project,referral,mobile,0
2026-04-22,P130,Luxury Villa,visit,organic,mobile,0
2026-04-22,P130,Luxury Villa,view_project,organic,mobile,0
2026-04-28,P131,Apartment Design,visit,referral,mobile,0
2026-04-28,P131,Apartment Design,view_project,referral,mobile,0
2026-04-01,P132,Apartment Design,visit,direct,mobile,0
2026-04-01,P132,Apartment Design,view_project,direct,mobile,0
2026-04-30,P133,Apartment Design,visit,organic,mobile,0
2026-04-30,P133,Apartment Design,view_project,organic,mobile,0
2026-04-19,P134,Luxury Villa,visit,referral,mobile,0
2026-04-19,P134,Luxury Villa,view_project,referral,mobile,0
2026-04-13,P135,Apartment Design,visit,ads,mobile,0
2026-04-13,P135,Apartment Design,view_project,ads,mobile,0
2026-04-14,P135,Apartment Design,enquiry,ads,mobile,1
2026-04-15,P136,Luxury Villa,visit,referral,desktop,0
2026-04-15,P136,Luxury Villa,view_project,referral,desktop,0
2026-04-27,P137,Apartment Design,visit,organic,mobile,0
2026-04-27,P137,Apartment Design,view_project,organic,mobile,0
2026-04-01,P138,Luxury Villa,visit,ads,desktop,0
2026-04-01,P138,Luxury Villa,view_project,ads,desktop,0
2026-04-04,P139,Luxury Villa,visit,referral,desktop,0
2026-04-04,P139,Luxury Villa,view_project,referral,desktop,0
2026-04-21,P140,Apartment Design,visit,referral,mobile,0
2026-04-21,P140,Apartment Design,view_project,referral,mobile,0
2026-04-07,P141,Interior Design,visit,organic,desktop,0
2026-04-18,P142,Interior Design,visit,ads,desktop,0
2026-04-18,P142,Interior Design,view_project,ads,desktop,0
2026-04-01,P143,Interior Design,visit,organic,mobile,0
2026-04-01,P143,Interior Design,view_project,organic,mobile,0
2026-04-22,P144,Interior Design,visit,referral,mobile,0
2026-04-18,P145,Apartment Design,visit,direct,desktop,0
2026-04-18,P145,Apartment Design,view_project,direct,desktop,0
2026-04-20,P145,Apartment Design,enquiry,direct,desktop,1
2026-04-15,P146,Interior Design,visit,ads,desktop,0
2026-04-17,P146,Interior Design,enquiry,ads,desktop,1
2026-04-15,P147,Apartment Design,visit,referral,desktop,0
2026-04-15,P147,Apartment Design,view_project,referral,desktop,0
2026-04-18,P148,Apartment Design,visit,organic,mobile,0
2026-04-18,P148,Apartment Design,view_project,organic,mobile,0
2026-04-19,P148,Apartment Design,enquiry,organic,mobile,1
2026-04-14,P149,Luxury Villa,visit,ads,desktop,0
2026-04-14,P149,Luxury Villa,view_project,ads,desktop,0
2026-04-12,P150,Luxury Villa,visit,referral,desktop,0
2026-04-12,P150,Luxury Villa,view_project,referral,desktop,0
2026-04-24,P151,Luxury Villa,visit,organic,mobile,0
2026-04-24,P151,Luxury Villa,view_project,organic,mobile,0
2026-04-01,P152,Luxury Villa,visit,referral,mobile,0
2026-04-01,P152,Luxury Villa,view_project,referral,mobile,0
2026-04-23,P153,Apartment Design,visit,organic,desktop,0
2026-04-23,P153,Apartment Design,view_project,organic,desktop,0
2026-04-26,P154,Luxury Villa,visit,organic,desktop,0
2026-04-26,P154,Luxury Villa,view_project,organic,desktop,0
2026-04-28,P154,Luxury Villa,enquiry,organic,desktop,1
2026-04-04,P155,Luxury Villa,visit,organic,desktop,0
2026-04-04,P155,Luxury Villa,view_project,organic,desktop,0
2026-04-20,P156,Apartment Design,visit,organic,mobile,0
2026-04-22,P156,Apartment Design,enquiry,organic,mobile,1
2026-05-03,P156,Apartment Design,deal_closed,organic,mobile,1940668
2026-05-27,P156,Apartment Design,move_in,organic,mobile,1940668
2026-04-05,P157,Apartment Design,visit,direct,desktop,0
2026-04-05,P157,Apartment Design,view_project,direct,desktop,0
2026-04-12,P158,Office Space,visit,ads,desktop,0
2026-04-12,P158,Office Space,view_project,ads,desktop,0
2026-04-03,P159,Luxury Villa,visit,ads,desktop,0
2026-04-04,P159,Luxury Villa,enquiry,ads,desktop,1
2026-04-30,P160,Office Space,visit,direct,desktop,0
2026-04-30,P160,Office Space,view_project,direct,desktop,0
2026-04-09,P161,Office Space,visit,ads,desktop,0
2026-04-09,P161,Office Space,view_project,ads,desktop,0
2026-04-26,P162,Luxury Villa,visit,ads,desktop,0
2026-04-29,P162,Luxury Villa,enquiry,ads,desktop,1
2026-04-13,P163,Apartment Design,visit,ads,mobile,0
2026-04-13,P163,Apartment Design,view_project,ads,mobile,0
2026-04-02,P164,Office Space,visit,organic,mobile,0
2026-04-02,P164,Office Space,view_project,organic,mobile,0
2026-04-01,P165,Luxury Villa,visit,referral,mobile,0
2026-04-01,P165,Luxury Villa,view_project,referral,mobile,0
2026-04-29,P166,Office Space,visit,direct,desktop,0
2026-04-29,P166,Office Space,view_project,direct,desktop,0
2026-05-02,P166,Office Space,enquiry,direct,desktop,1
2026-05-07,P166,Office Space,deal_closed,direct,desktop,4703045
2026-06-03,P166,Office Space,move_in,direct,desktop,4703045
2026-04-18,P167,Office Space,visit,ads,desktop,0
2026-04-18,P167,Office Space,view_project,ads,desktop,0
2026-04-17,P168,Apartment Design,visit,organic,mobile,0
2026-04-17,P168,Apartment Design,view_project,organic,mobile,0
2026-04-09,P169,Luxury Villa,visit,referral,desktop,0
2026-04-09,P169,Luxury Villa,view_project,referral,desktop,0
2026-04-29,P170,Office Space,visit,organic,desktop,0
2026-04-30,P170,Office Space,enquiry,organic,desktop,1
2026-05-15,P170,Office Space,deal_closed,organic,desktop,1628668
2026-06-05,P170,Office Space,move_in,organic,desktop,1628668
2026-04-16,P171,Luxury Villa,visit,referral,mobile,0
2026-04-01,P172,Apartment Design,visit,direct,desktop,0
2026-04-01,P172,Apartment Design,view_project,direct,desktop,0
2026-04-03,P172,Apartment Design,enquiry,direct,desktop,1
2026-04-15,P172,Apartment Design,deal_closed,direct,desktop,3703014
2026-05-15,P172,Apartment Design,move_in,direct,desktop,3703014
2026-04-13,P173,Apartment Design,visit,referral,desktop,0
2026-04-13,P173,Apartment Design,view_project,referral,desktop,0
2026-04-14,P174,Interior Design,visit,organic,desktop,0
2026-04-16,P174,Interior Design,enquiry,organic,desktop,1
2026-04-25,P174,Interior Design,deal_closed,organic,desktop,938092
2026-05-22,P174,Interior Design,move_in,organic,desktop,938092
2026-04-11,P175,Apartment Design,visit,ads,desktop,0
2026-04-11,P175,Apartment Design,view_project,ads,desktop,0
2026-04-14,P176,Interior Design,visit,direct,desktop,0
2026-04-14,P176,Interior Design,view_project,direct,desktop,0
2026-04-15,P177,Apartment Design,visit,organic,desktop,0
2026-04-17,P178,Apartment Design,visit,direct,mobile,0
2026-04-17,P178,Apartment Design,view_project,direct,mobile,0
2026-04-18,P178,Apartment Design,enquiry,direct,mobile,1
2026-04-29,P179,Luxury Villa,visit,organic,desktop,0
2026-04-20,P180,Luxury Villa,visit,referral,mobile,0
2026-04-20,P180,Luxury Villa,view_project,referral,mobile,0
2026-04-09,P181,Luxury Villa,visit,ads,desktop,0
2026-04-09,P181,Luxury Villa,view_project,ads,desktop,0
2026-04-12,P181,Luxury Villa,enquiry,ads,desktop,1
2026-04-21,P181,Luxury Villa,deal_closed,ads,desktop,1118623
2026-05-02,P181,Luxury Villa,move_in,ads,desktop,1118623
2026-04-06,P182,Office Space,visit,direct,desktop,0
2026-04-13,P183,Luxury Villa,visit,referral,desktop,0
2026-04-13,P183,Luxury Villa,view_project,referral,desktop,0
2026-04-29,P184,Office Space,visit,direct,mobile,0
2026-04-29,P184,Office Space,view_project,direct,mobile,0
2026-04-24,P185,Office Space,visit,referral,desktop,0
2026-04-24,P185,Office Space,view_project,referral,desktop,0
2026-04-28,P186,Interior Design,visit,ads,mobile,0
2026-04-19,P187,Luxury Villa,visit,direct,mobile,0
2026-04-19,P187,Luxury Villa,view_project,direct,mobile,0
2026-04-19,P188,Luxury Villa,visit,organic,mobile,0
2026-04-19,P188,Luxury Villa,view_project,organic,mobile,0
2026-04-22,P188,Luxury Villa,enquiry,organic,mobile,1
2026-04-09,P189,Interior Design,visit,referral,mobile,0
2026-04-24,P190,Apartment Design,visit,organic,mobile,0
2026-04-24,P190,Apartment Design,view_project,organic,mobile,0
2026-04-25,P190,Apartment Design,enquiry,organic,mobile,1
2026-04-08,P191,Office Space,visit,direct,desktop,0
2026-04-08,P191,Office Space,view_project,direct,desktop,0
2026-04-09,P191,Office Space,enquiry,direct,desktop,1
2026-04-05,P192,Apartment Design,visit,organic,mobile,0
2026-04-05,P192,Apartment Design,view_project,organic,mobile,0
2026-04-21,P193,Apartment Design,visit,ads,mobile,0
2026-04-21,P193,Apartment Design,view_project,ads,mobile,0
2026-04-30,P194,Interior Design,visit,organic,desktop,0
2026-04-30,P194,Interior Design,view_project,organic,desktop,0
2026-04-15,P195,Apartment Design,visit,direct,mobile,0
2026-04-15,P195,Apartment Design,view_project,direct,mobile,0
2026-04-28,P196,Office Space,visit,ads,mobile,0
2026-04-04,P197,Office Space,visit,referral,mobile,0
2026-04-14,P198,Apartment Design,visit,direct,mobile,0
2026-04-14,P198,Apartment Design,view_project,direct,mobile,0
2026-04-22,P199,Apartment Design,visit,direct,desktop,0
2026-04-09,P200,Apartment Design,visit,direct,mobile,0
2026-04-09,P200,Apartment Design,view_project,direct,mobile,0
2026-04-24,P201,Apartment Design,visit,direct,mobile,0
2026-04-24,P201,Apartment Design,view_project,direct,mobile,0
2026-04-24,P202,Office Space,visit,direct,desktop,0
2026-04-24,P202,Office Space,view_project,direct,desktop,0
2026-04-13,P203,Apartment Design,visit,ads,desktop,0
2026-04-13,P203,Apartment Design,view_project,ads,desktop,0
2026-04-14,P204,Luxury Villa,visit,ads,desktop,0
2026-04-24,P205,Interior Design,visit,ads,mobile,0
2026-04-24,P205,Interior Design,view_project,ads,mobile,0
2026-04-27,P206,Apartment Design,visit,ads,mobile,0
2026-04-27,P206,Apartment Design,view_project,ads,mobile,0
2026-04-22,P207,Office Space,visit,direct,mobile,0
2026-04-22,P207,Office Space,view_project,direct,mobile,0
2026-04-25,P208,Interior Design,visit,ads,desktop,0
2026-04-25,P208,Interior Design,view_project,ads,desktop,0
2026-04-26,P209,Apartment Design,visit,referral,desktop,0
2026-04-27,P209,Apartment Design,enquiry,referral,desktop,1
2026-04-08,P210,Office Space,visit,ads,mobile,0
2026-04-09,P210,Office Space,enquiry,ads,mobile,1
2026-04-16,P210,Office Space,deal_closed,ads,mobile,2198712
2026-05-06,P210,Office Space,move_in,ads,mobile,2198712
2026-04-25,P211,Office Space,visit,direct,mobile,0
2026-04-25,P211,Office Space,view_project,direct,mobile,0
2026-04-05,P212,Interior Design,visit,referral,desktop,0
2026-04-02,P213,Luxury Villa,visit,direct,desktop,0
2026-04-23,P214,Office Space,visit,ads,desktop,0
2026-04-23,P214,Office Space,view_project,ads,desktop,0
2026-04-10,P215,Office Space,visit,direct,mobile,0
2026-04-10,P215,Office Space,view_project,direct,mobile,0
2026-04-29,P216,Apartment Design,visit,ads,mobile,0
2026-04-29,P216,Apartment Design,view_project,ads,mobile,0
2026-04-23,P217,Interior Design,visit,ads,mobile,0
2026-04-23,P217,Interior Design,view_project,ads,mobile,0
2026-04-24,P218,Luxury Villa,visit,referral,mobile,0
2026-04-25,P219,Apartment Design,visit,organic,desktop,0
2026-04-25,P219,Apartment Design,view_project,organic,desktop,0
2026-04-03,P220,Luxury Villa,visit,referral,mobile,0
